Date,Close,% Change,% Change vs Average,Volume
2022-10-10T18:30:00.000Z,"16,983.55",-1.49,-1.52,"282,600"
2022-10-11T18:30:00.000Z,"17,123.60",0.82,0.8,"256,000"
2022-10-12T18:30:00.000Z,"17,014.35",-0.64,-0.66,"266,400"
2022-10-13T18:30:00.000Z,"17,185.70",1.01,0.98,"227,000"
2022-10-16T18:30:00.000Z,"17,311.80",0.73,0.71,"212,200"
2022-10-17T18:30:00.000Z,"17,486.95",1.01,0.99,"239,500"
2022-10-18T18:30:00.000Z,"17,512.25",0.14,0.12,"210,500"
2022-10-19T18:30:00.000Z,"17,563.95",0.3,0.27,"249,600"
2022-10-20T18:30:00.000Z,"17,576.30",0.07,0.05,"277,700"
2022-10-23T18:30:00.000Z,"17,730.75",0.88,0.85,"45,000"
2022-10-24T18:30:00.000Z,"17,656.35",-0.42,-0.44,"251,400"
2022-10-26T18:30:00.000Z,"17,736.95",0.46,0.43,"324,600"
